id,title,condition,price,currency_id,available_quantity,permalink,thumbnail,seller_id,category_id,base_price,warranty
MLA1613596650,Amazon Tv Stick Fire Tv Stick 4k Max K2r2te De Voz 1.ª Generación 4k 8gb Negro Con 2gb De Memoria Ram,new,87800,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1613596650-amazon-tv-stick-fire-tv-stick-4k-max-k2r2te-de-voz-1-generacion-4k-8gb-negro-con-2gb-de-memoria-ram-_JM,http://http2.mlstatic.com/D_940832-MLU73213842177_122023-I.jpg,1473286957,MLA352001,87800,Garantía del vendedor: 6 meses
MLA1111950343,Amazon Fire Tv Stick De Voz 3.ª Generación Full Hd 8gb Negro Con 1gb De Memoria Ram,new,93099.05,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1111950343-amazon-fire-tv-stick-de-voz-3-generacion-full-hd-8gb-negro-con-1gb-de-memoria-ram-_JM,http://http2.mlstatic.com/D_624844-MLA76398265318_052024-I.jpg,153491318,MLA352001,93099.05,Garantía del vendedor: 6 meses
MLA1395987695,Amazon Fire Tv Stick 3ra Hd Alexa Voice Remote Original,new,96760,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1395987695-amazon-fire-tv-stick-3ra-hd-alexa-voice-remote-original-_JM,http://http2.mlstatic.com/D_753131-MLA47043467427_082021-I.jpg,1312428764,MLA352001,96760,Garantía del vendedor: 6 meses
MLA1424231923,Amazon Fire Tv Stick 4k Max 16 Gb Wifi 6 Ultra Rápido Color Negro,new,109479,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1424231923-amazon-fire-tv-stick-4k-max-16-gb-wifi-6-ultra-rapido-color-negro-_JM,http://http2.mlstatic.com/D_759691-MLU73748474388_012024-I.jpg,451257294,MLA352001,109479,Garantía del vendedor: 30 días
MLA1400496615,Amazon Fire Tv Stick 4k De Voz 2ª Generación 4k 8gb Negro1 Con 1.5gb De Memoria Ram,new,82900,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1400496615-amazon-fire-tv-stick-4k-de-voz-2-generacion-4k-8gb-negro1-con-15gb-de-memoria-ram-_JM,http://http2.mlstatic.com/D_971919-MLA74652650842_022024-I.jpg,1443311053,MLA352001,82900,Garantía del vendedor: 6 meses
MLA1424090841,Amazon Fire Tv Stick 4k De Voz 3.ª Generación 4k 8gb Negro Con 1.5gb De Memoria Ram,new,117030,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1424090841-amazon-fire-tv-stick-4k-de-voz-3-generacion-4k-8gb-negro-con-15gb-de-memoria-ram-_JM,http://http2.mlstatic.com/D_784422-MLU73365004986_122023-I.jpg,288537838,MLA352001,117030,Garantía del vendedor: 6 meses
MLA1751072176,"Amazon Fire Tv Stick 4k Streaming, Con Alexa Voice Remote Color Negro",new,113100,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1751072176-amazon-fire-tv-stick-4k-streaming-con-alexa-voice-remote-color-negro-_JM,http://http2.mlstatic.com/D_752901-MLU70084963645_062023-I.jpg,656691895,MLA352001,113100,Garantía del vendedor: 30 días
MLA1525962974,Amazon Fire Tv Stick Edición 2021 De Voz Full Hd 8gb Negro,new,99000,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1525962974-amazon-fire-tv-stick-edicion-2021-de-voz-full-hd-8gb-negro-_JM,http://http2.mlstatic.com/D_840026-MLA48231357091_112021-I.jpg,235346211,MLA352001,99000,Garantía de fábrica: 3 meses
MLA1707874712,Amazon Fire Tv Stick 1080p Alexa Control Remoto Tz,new,69799,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1707874712-amazon-fire-tv-stick-1080p-alexa-control-remoto-tz-_JM,http://http2.mlstatic.com/D_907091-MLU71759959795_092023-I.jpg,159636048,MLA352001,69799,Garantía del vendedor: 1 meses
MLA1369238847,Amazon Fire Tv Stick Lite Control De Voz Full Hd 8gb 1gb Ram,new,72999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1369238847-amazon-fire-tv-stick-lite-control-de-voz-full-hd-8gb-1gb-ram-_JM,http://http2.mlstatic.com/D_706612-MLA69348198947_052023-I.jpg,1002842391,MLA352001,72999,Sin garantía
MLA1373073449,Amazon Fire Tv Stick Lite 2022 Full Hd 8gb Streaming ,new,64999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1373073449-amazon-fire-tv-stick-lite-2022-full-hd-8gb-streaming-_JM,http://http2.mlstatic.com/D_921432-MLA52140925321_102022-I.jpg,579983671,MLA352001,64999,Garantía del vendedor: 6 meses
MLA1429640269,Amazon Fire Tv Stick 4k Ultra Hd Alexa Wifi6 2023 Gen 2,new,93999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1429640269-amazon-fire-tv-stick-4k-ultra-hd-alexa-wifi6-2023-gen-2-_JM,http://http2.mlstatic.com/D_733186-MLU75730689100_042024-I.jpg,701293922,MLA352001,93999,Garantía del vendedor: 3 meses
MLA875087652,Amazon Fire Tv Stick 4k Uhd 8gb Negro Hdmi C/ Alexa,new,84900,ARS,0,https://articulo.mercadolibre.com.ar/MLA-875087652-amazon-fire-tv-stick-4k-uhd-8gb-negro-hdmi-c-alexa-_JM,http://http2.mlstatic.com/D_653628-MLA48431250495_122021-I.jpg,86898163,MLA352001,84900,Garantía del vendedor: 12 meses
MLA1396000791,Amazon Fire Tv Stick 3ra Hd Alexa Voice Remote Original,new,87197,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1396000791-amazon-fire-tv-stick-3ra-hd-alexa-voice-remote-original-_JM,http://http2.mlstatic.com/D_753131-MLA47043467427_082021-I.jpg,1312428764,MLA352001,87197,Garantía del vendedor: 6 meses
