id,title,condition,price,currency_id,available_quantity,permalink,thumbnail,seller_id,category_id,base_price,warranty,color
MLA1392498187,Google Home Mini Asistente Virtual Bulk Bolsa Nuevo Gtia +,new,101774,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1392498187-google-home-mini-asistente-virtual-bulk-bolsa-nuevo-gtia--_JM,http://http2.mlstatic.com/D_891716-MLA72222350978_102023-I.jpg,53971387,MLA409415,101774,Garantía del vendedor: 6 meses,
MLA918072516,Google Nest Mini Nest Mini 2nd Gen Con Asistente Virtual Google Assistant Chalk 110v/220v,new,66490.5,ARS,0,https://articulo.mercadolibre.com.ar/MLA-918072516-google-nest-mini-nest-mini-2nd-gen-con-asistente-virtual-google-assistant-chalk-110v220v-_JM,http://http2.mlstatic.com/D_748685-MLA45255603145_032021-I.jpg,119914491,MLA409415,66490.5,Garantía del vendedor: 6 meses,Chalk
MLA1162818039,Pc Gamer Amd Ryzen 5 5600g 6/12 Nucleos 16gb Ssd480 Ver2.0,new,658699,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1162818039-pc-gamer-amd-ryzen-5-5600g-612-nucleos-16gb-ssd480-ver20-_JM,http://http2.mlstatic.com/D_623316-MLA76572402404_062024-I.jpg,91988078,MLA1649,658699,Garantía del vendedor: 1 años,
MLA912014012,Soporte De Pared Google Mini Home / Nest Mini 2da Generacion,new,3999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-912014012-soporte-de-pared-google-mini-home-nest-mini-2da-generacion-_JM,http://http2.mlstatic.com/D_865235-MLA45428940435_042021-I.jpg,64130989,MLA409415,3999,Garantía del vendedor: 30 días,
MLA1427866671,Pc Armada Cpu Intel Core I3 14100 8gb Ram 250g Ssd,new,481499.0,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1427866671-pc-armada-cpu-intel-core-i3-14100-8gb-ram-250g-ssd-_JM,http://http2.mlstatic.com/D_644840-MLA76811655907_062024-I.jpg,91988078,MLA1649,481499.0,Garantía del vendedor: 1 años,
MLA1116103939,Pc Armada Oficina Hogar Intel Pentium 8gb Ram Y Ssd,new,246499,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1116103939-pc-armada-oficina-hogar-intel-pentium-8gb-ram-y-ssd-_JM,http://http2.mlstatic.com/D_875382-MLA76867312583_062024-I.jpg,91988078,MLA1649,246499,Garantía del vendedor: 1 año,
MLA1420412078,Consola Nintendo Switch Oled 64gb Negra Soy Gamer ,new,625990,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1420412078-consola-nintendo-switch-oled-64gb-negra-soy-gamer-_JM,http://http2.mlstatic.com/D_803086-MLA47920649105_102021-I.jpg,191179311,MLA438566,625990,Garantía del vendedor: 1 meses,
MLA1398767505,Google Home Mini Con Asistente Virtual Multi-room Ref,new,79990,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1398767505-google-home-mini-con-asistente-virtual-multi-room-ref-_JM,http://http2.mlstatic.com/D_884084-MLA73304879358_122023-I.jpg,309453406,MLA409415,79990,Garantía del vendedor: 3 meses,
MLA1597470910,Google Home Mini Con Google Assistant Negro Reacondicionado,new,69990,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1597470910-google-home-mini-con-google-assistant-negro-reacondicionado-_JM,http://http2.mlstatic.com/D_724132-MLA73322329866_122023-I.jpg,119914491,MLA409415,69990,Garantía del vendedor: 3 meses,
MLA1424706597,Apple Tv 4k 32gb 1st Gen Netflix Prime Video Disney+ Hbo ,new,309999,ARS,0,https://articulo.mercadolibre.com.ar/MLA-1424706597-apple-tv-4k-32gb-1st-gen-netflix-prime-video-disney-hbo-_JM,http://http2.mlstatic.com/D_863749-MLU70835919616_082023-I.jpg,119914491,MLA352001,309999,Garantía del vendedor: 3 meses,
